participant_id,event,trial_index,environment,biofeedback,scene,mood,calm,attention,timestamp
P_20260923_173231,PreMood,0,Grey,Synchronous,GreyScene,0,0,0,2026-09-23 17:32:40.264
P_20260923_173231,EnvironmentStart,0,Urban,Asynchronous,UrbanScene,,,,2026-09-23 17:32:40.267
P_20260923_173231,EnvironmentEnd,0,Urban,Asynchronous,UrbanScene,,,,2026-09-23 17:33:17.201
P_20260923_173231,PostMood,0,Urban,Asynchronous,UrbanScene,0,0,0,2026-09-23 17:33:20.750
P_20260923_173231,EnvironmentStart,1,Grey,Synchronous,GreyScene,,,,2026-09-23 17:33:20.752
P_20260923_173231,EnvironmentEnd,1,Grey,Synchronous,GreyScene,,,,2026-09-23 17:33:52.100
P_20260923_173231,PostMood,1,Grey,Synchronous,GreyScene,0,0,0,2026-09-23 17:33:55.148
P_20260923_173231,EnvironmentStart,2,Grey,Asynchronous,GreyScene,,,,2026-09-23 17:33:55.149
