timestamp,unix_s,bpm
2026-09-23T17:32:38+10:00,1790148758.395,72
2026-09-23T17:32:39+10:00,1790148759.444,73
2026-09-23T17:32:40+10:00,1790148760.404,73
2026-09-23T17:32:41+10:00,1790148761.484,73
2026-09-23T17:32:42+10:00,1790148762.444,73
2026-09-23T17:32:43+10:00,1790148763.404,74
2026-09-23T17:32:44+10:00,1790148764.484,74
2026-09-23T17:32:45+10:00,1790148765.444,74
2026-09-23T17:32:46+10:00,1790148766.524,74
2026-09-23T17:32:47+10:00,1790148767.484,74
2026-09-23T17:32:48+10:00,1790148768.444,74
2026-09-23T17:32:49+10:00,1790148769.524,75
2026-09-23T17:32:50+10:00,1790148770.484,75
2026-09-23T17:32:51+10:00,1790148771.445,75
2026-09-23T17:32:52+10:00,1790148772.524,75
2026-09-23T17:32:53+10:00,1790148773.486,75
2026-09-23T17:32:54+10:00,1790148774.445,75
2026-09-23T17:32:55+10:00,1790148775.524,74
2026-09-23T17:32:56+10:00,1790148776.485,73
2026-09-23T17:32:57+10:00,1790148777.444,73
2026-09-23T17:32:58+10:00,1790148778.524,72
2026-09-23T17:32:59+10:00,1790148779.484,72
2026-09-23T17:33:00+10:00,1790148780.445,72
2026-09-23T17:33:01+10:00,1790148781.525,71
2026-09-23T17:33:02+10:00,1790148782.485,71
2026-09-23T17:33:03+10:00,1790148783.444,71
2026-09-23T17:33:04+10:00,1790148784.525,71
2026-09-23T17:33:05+10:00,1790148785.485,71
2026-09-23T17:33:06+10:00,1790148786.445,71
2026-09-23T17:33:07+10:00,1790148787.525,71
2026-09-23T17:33:08+10:00,1790148788.484,71
2026-09-23T17:33:09+10:00,1790148789.445,71
2026-09-23T17:33:10+10:00,1790148790.525,71
2026-09-23T17:33:11+10:00,1790148791.485,71
2026-09-23T17:33:12+10:00,1790148792.445,71
2026-09-23T17:33:13+10:00,1790148793.525,71
2026-09-23T17:33:14+10:00,1790148794.485,71
2026-09-23T17:33:15+10:00,1790148795.445,71
2026-09-23T17:33:16+10:00,1790148796.525,71
2026-09-23T17:33:17+10:00,1790148797.485,71
2026-09-23T17:33:18+10:00,1790148798.445,71
2026-09-23T17:33:19+10:00,1790148799.525,71
2026-09-23T17:33:20+10:00,1790148800.485,71
2026-09-23T17:33:21+10:00,1790148801.445,71
2026-09-23T17:33:22+10:00,1790148802.525,71
2026-09-23T17:33:23+10:00,1790148803.485,71
2026-09-23T17:33:24+10:00,1790148804.445,71
2026-09-23T17:33:25+10:00,1790148805.525,71
2026-09-23T17:33:26+10:00,1790148806.485,71
2026-09-23T17:33:27+10:00,1790148807.445,71
2026-09-23T17:33:28+10:00,1790148808.525,71
2026-09-23T17:33:29+10:00,1790148809.485,72
2026-09-23T17:33:30+10:00,1790148810.445,72
2026-09-23T17:33:31+10:00,1790148811.525,71
2026-09-23T17:33:32+10:00,1790148812.485,71
2026-09-23T17:33:33+10:00,1790148813.445,71
2026-09-23T17:33:34+10:00,1790148814.525,71
2026-09-23T17:33:35+10:00,1790148815.485,71
2026-09-23T17:33:36+10:00,1790148816.445,71
2026-09-23T17:33:37+10:00,1790148817.525,71
2026-09-23T17:33:38+10:00,1790148818.485,71
2026-09-23T17:33:39+10:00,1790148819.445,68
2026-09-23T17:33:40+10:00,1790148820.525,67
2026-09-23T17:33:41+10:00,1790148821.485,66
2026-09-23T17:33:42+10:00,1790148822.565,66
2026-09-23T17:33:43+10:00,1790148823.525,66
2026-09-23T17:33:44+10:00,1790148824.485,66
2026-09-23T17:33:45+10:00,1790148825.565,66
2026-09-23T17:33:46+10:00,1790148826.525,66
2026-09-23T17:33:47+10:00,1790148827.485,66
2026-09-23T17:33:48+10:00,1790148828.565,66
2026-09-23T17:33:49+10:00,1790148829.525,66
2026-09-23T17:33:50+10:00,1790148830.485,66
2026-09-23T17:33:51+10:00,1790148831.565,66
2026-09-23T17:33:52+10:00,1790148832.525,66
2026-09-23T17:33:53+10:00,1790148833.486,66
2026-09-23T17:33:54+10:00,1790148834.565,66
2026-09-23T17:33:55+10:00,1790148835.526,66
2026-09-23T17:33:56+10:00,1790148836.486,66
2026-09-23T17:33:57+10:00,1790148837.566,66
2026-09-23T17:33:58+10:00,1790148838.526,67
2026-09-23T17:33:59+10:00,1790148839.486,67
2026-09-23T17:34:00+10:00,1790148840.566,67
2026-09-23T17:34:01+10:00,1790148841.526,68
2026-09-23T17:34:02+10:00,1790148842.486,68
2026-09-23T17:34:03+10:00,1790148843.566,68
2026-09-23T17:34:04+10:00,1790148844.526,68
2026-09-23T17:34:05+10:00,1790148845.486,67
2026-09-23T17:34:06+10:00,1790148846.566,67
2026-09-23T17:34:07+10:00,1790148847.526,66
2026-09-23T17:34:08+10:00,1790148848.486,66
2026-09-23T17:34:09+10:00,1790148849.566,66
2026-09-23T17:34:10+10:00,1790148850.526,65
2026-09-23T17:34:11+10:00,1790148851.486,65
2026-09-23T17:34:12+10:00,1790148852.566,65
2026-09-23T17:34:13+10:00,1790148853.526,65
2026-09-23T17:34:14+10:00,1790148854.486,65
2026-09-23T17:34:15+10:00,1790148855.566,65
2026-09-23T17:34:16+10:00,1790148856.526,65
2026-09-23T17:34:17+10:00,1790148857.486,65
2026-09-23T17:34:18+10:00,1790148858.566,65
2026-09-23T17:34:19+10:00,1790148859.526,65
