participant_id,event,trial_index,environment,biofeedback,scene,mood,calm,attention,timestamp
P_20260923_140631,PreMood,0,Grey,Synchronous,GreyScene,0.5142857,0.9142857,0,2026-09-23 14:06:42.359
P_20260923_140631,EnvironmentStart,0,Urban,Synchronous,UrbanScene,,,,2026-09-23 14:06:42.367
P_20260923_140631,EnvironmentEnd,0,Urban,Synchronous,UrbanScene,,,,2026-09-23 14:07:08.389
P_20260923_140631,PostMood,0,Urban,Synchronous,UrbanScene,0.7904761,0.9142857,0.7428572,2026-09-23 14:07:14.716
P_20260923_140631,EnvironmentStart,1,Urban,Asynchronous,UrbanScene,,,,2026-09-23 14:07:14.720
P_20260923_140631,EnvironmentEnd,1,Urban,Asynchronous,UrbanScene,,,,2026-09-23 14:07:35.205
P_20260923_140631,PostMood,1,Urban,Asynchronous,UrbanScene,0.8619047,0.4380951,0.7904761,2026-09-23 14:07:40.896
P_20260923_140631,EnvironmentStart,2,Rainforest,Synchronous,RainforestScene,,,,2026-09-23 14:07:40.902
P_20260923_140631,EnvironmentEnd,2,Rainforest,Synchronous,RainforestScene,,,,2026-09-23 14:08:03.307
