participant_id,event,trial_index,environment,biofeedback,scene,mood,calm,attention,timestamp
P_20260923_130546,PreMood,0,Grey,Synchronous,GreyScene,0.4142859,0.8095239,0,2026-09-23 13:05:59.597
P_20260923_130546,EnvironmentStart,0,Grey,Asynchronous,GreyScene,,,,2026-09-23 13:05:59.605
P_20260923_130546,EnvironmentEnd,0,Grey,Asynchronous,GreyScene,,,,2026-09-23 13:06:09.962
P_20260923_130546,PostMood,0,Grey,Asynchronous,GreyScene,0.5285717,0.5380953,0.752381,2026-09-23 13:06:22.267
P_20260923_130546,EnvironmentStart,1,Rainforest,Asynchronous,RainforestScene,,,,2026-09-23 13:06:22.271
P_20260923_130546,EnvironmentEnd,1,Rainforest,Asynchronous,RainforestScene,,,,2026-09-23 13:06:42.803
