timestamp,unix_s,bpm
2026-09-16T13:25:27+10:00,1789529127.077,77
2026-09-16T13:25:28+10:00,1789529128.125,77
2026-09-16T13:25:29+10:00,1789529129.085,76
2026-09-16T13:25:30+10:00,1789529130.106,75
2026-09-16T13:25:31+10:00,1789529131.186,75
2026-09-16T13:25:32+10:00,1789529132.145,75
2026-09-16T13:25:33+10:00,1789529133.106,75
2026-09-16T13:25:34+10:00,1789529134.186,75
2026-09-16T13:25:35+10:00,1789529135.145,76
2026-09-16T13:25:36+10:00,1789529136.106,76
2026-09-16T13:25:37+10:00,1789529137.186,76
2026-09-16T13:25:38+10:00,1789529138.146,76
2026-09-16T13:25:39+10:00,1789529139.106,76
2026-09-16T13:25:40+10:00,1789529140.186,76
2026-09-16T13:25:41+10:00,1789529141.146,74
2026-09-16T13:25:42+10:00,1789529142.106,72
2026-09-16T13:25:43+10:00,1789529143.186,71
2026-09-16T13:25:44+10:00,1789529144.146,71
2026-09-16T13:25:45+10:00,1789529145.106,69
2026-09-16T13:25:46+10:00,1789529146.186,69
