timestamp,unix_s,bpm
2026-09-16T13:27:48+10:00,1789529268.125,76
2026-09-16T13:27:49+10:00,1789529269.129,76
2026-09-16T13:27:50+10:00,1789529270.149,76
2026-09-16T13:27:51+10:00,1789529271.229,76
2026-09-16T13:27:52+10:00,1789529272.189,76
2026-09-16T13:27:53+10:00,1789529273.149,76
2026-09-16T13:27:54+10:00,1789529274.229,76
2026-09-16T13:27:55+10:00,1789529275.189,77
2026-09-16T13:27:56+10:00,1789529276.150,77
2026-09-16T13:27:57+10:00,1789529277.230,77
2026-09-16T13:27:58+10:00,1789529278.189,77
2026-09-16T13:27:59+10:00,1789529279.150,77
2026-09-16T13:28:00+10:00,1789529280.229,77
2026-09-16T13:28:01+10:00,1789529281.189,77
2026-09-16T13:28:02+10:00,1789529282.149,77
2026-09-16T13:28:03+10:00,1789529283.229,76
2026-09-16T13:28:04+10:00,1789529284.189,76
2026-09-16T13:28:05+10:00,1789529285.149,76
2026-09-16T13:28:06+10:00,1789529286.229,76
