timestamp,unix_s,bpm
2026-09-16T13:29:58+10:00,1789529398.373,72
2026-09-16T13:29:59+10:00,1789529399.392,71
2026-09-16T13:30:00+10:00,1789529400.412,71
2026-09-16T13:30:01+10:00,1789529401.432,71
2026-09-16T13:30:02+10:00,1789529402.632,71
2026-09-16T13:30:03+10:00,1789529403.472,71
2026-09-16T13:30:04+10:00,1789529404.432,71
2026-09-16T13:30:05+10:00,1789529405.392,71
2026-09-16T13:30:06+10:00,1789529406.472,71
2026-09-16T13:30:07+10:00,1789529407.432,71
2026-09-16T13:30:08+10:00,1789529408.392,71
2026-09-16T13:30:09+10:00,1789529409.473,71
2026-09-16T13:30:10+10:00,1789529410.432,71
2026-09-16T13:30:11+10:00,1789529411.392,71
2026-09-16T13:30:12+10:00,1789529412.472,73
2026-09-16T13:30:13+10:00,1789529413.433,73
2026-09-16T13:30:14+10:00,1789529414.393,73
2026-09-16T13:30:15+10:00,1789529415.472,73
2026-09-16T13:30:16+10:00,1789529416.673,73
2026-09-16T13:30:17+10:00,1789529417.392,72
2026-09-16T13:30:18+10:00,1789529418.473,72
2026-09-16T13:30:19+10:00,1789529419.433,72
2026-09-16T13:30:20+10:00,1789529420.393,71
2026-09-16T13:30:21+10:00,1789529421.473,71
2026-09-16T13:30:22+10:00,1789529422.433,71
